																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	807	609	lD-	l·ĝ	l·ĝ	velarized voiced dental lateral-approximant	velzd vd dental laterapprox					3	FALSE	FALSE	006C00B7011D				velzd					vd	dental				laterapprox	
	808	610	lD:	l·►	l·►	long voiced dental lateral-approximant	long vd dental laterapprox					1	FALSE	FALSE	006C00B725BA					long				vd	dental				laterapprox	
	809	613	lDJ	l·ĵ	l·ĵ	palatalized voiced dental lateral-approximant	palzd vd dental laterapprox					2	FALSE	FALSE	006C00B70135				palzd					vd	dental				laterapprox	
	810	490	hl	l°	l°	voiceless alveolar lateral-approximant	vl alveolar laterapprox		4	148	1311	2	FALSE	FALSE	006C00B0									vl	alveolar				laterapprox	
	811	491	hl-	l°ĝ	l°ĝ	velarized voiceless alveolar lateral-approximant	velzd vl alveolar laterapprox					1	FALSE	FALSE	006C00B0011D				velzd					vl	alveolar				laterapprox	
	812	500	hlJ	l°ĵ	l°ĵ	palatalized voiceless alveolar lateral-approximant	palzd vl alveolar laterapprox					1	FALSE	FALSE	006C00B00135				palzd					vl	alveolar				laterapprox	
	813	600	l	l	l	voiced alveolar lateral-approximant	vd alveolar laterapprox		4	149	1312	174	FALSE	FALSE	006C									vd	alveolar				laterapprox	
	814	601	l*	l·	l·	creaky-voiced voiced alveolar lateral-approximant	creaky vd alveolar laterapprox					5	FALSE	FALSE	006C0387							creaky		vd	alveolar				laterapprox	
	815	602	l-	lĝ	lĝ	velarized voiced alveolar lateral-approximant	velzd vd alveolar laterapprox					2	FALSE	FALSE	006C011D				velzd					vd	alveolar				laterapprox	
	816	607	l9	lſ	lſ	pharyngealized voiced alveolar lateral-approximant	pharzd vd alveolar laterapprox					1	FALSE	FALSE	006C017F				pharzd					vd	alveolar				laterapprox	
	817	616	lJ!	lĵ	lĵ	palatalized voiced alveolar lateral-approximant	palzd vd alveolar laterapprox					4	FALSE	FALSE	006C0135				palzd					vd	alveolar				laterapprox	
	818	622	l~	l†	l†	nasalized voiced alveolar lateral-approximant	naszd vd alveolar laterapprox					1	FALSE	FALSE	006C2020			naszd						vd	alveolar				laterapprox	
	819	929		?l	?l	preglottalized voiced alveolar lateral-approximant	pglot vd alveolar laterapprox						FALSE	FALSE	003F006C								pglot	vd	alveolar				laterapprox	
	820	976		l'	l'	voiced alveolar ejective lateral-approximant	vd alveolar ejective laterapprox						FALSE	FALSE	006C0027									vd	alveolar		ejective		laterapprox	
	821	977		l►	l►	long voiced alveolar lateral-approximant	long vd alveolar laterapprox						FALSE	FALSE	006C25BA					long				vd	alveolar				laterapprox	
	822	59	lh	l΄	l΄	breathy-voiced alveolar lateral-approximant	breathy alveolar laterapprox					3	FALSE	FALSE	006C0384							breathy			alveolar				laterapprox	
	823	619	l_	lˉ	lˉ	voiced postalveolar lateral-approximant	vd postalveol laterapprox		4	151	1314	12	FALSE	FALSE	006C02C9									vd	postalveol				laterapprox	
	824	620	l_h	lˉ΄	lˉ΄	breathy-voiced postalveolar lateral-approximant	breathy postalveol laterapprox					1	FALSE	FALSE	006C02C90384							breathy			postalveol				laterapprox	
	825	492	hl.	Ļ°	Ļ°	voiceless retroflex lateral-approximant	vl retro laterapprox		4	152	1315	1	FALSE	FALSE	013B00B0									vl	retro				laterapprox	
	826	603	l.	Ļ	Ļ	voiced retroflex lateral-approximant	vd retro laterapprox		4	153	1316	27	FALSE	FALSE	013B									vd	retro				laterapprox	
	827	621	lj	λ	λ	voiced palatal lateral-approximant	vd palatal laterapprox		4	155	1318	20	FALSE	FALSE	03BB									vd	palatal				laterapprox	
	828	222	L!	L	L	voiced velar lateral-approximant	vd velar laterapprox		4	157	1320	1	FALSE	FALSE	004C									vd	velar				laterapprox	
	829	256	PA	F¼	F¼	voiceless bilabial approximant	vl bilabial approxi		4	158	1401	1	FALSE	FALSE	004600BC									vl	bilabial				approxi	
	830	188	BA	β¼	β¼	voiced bilabial approximant	vd bilabial approxi		4	159	1402	19	FALSE	FALSE	03B200BC									vd	bilabial				approxi	
	831	189	BA-	β¼ĝ	β¼ĝ	velarized voiced bilabial approximant	velzd vd bilabial approxi					1	FALSE	FALSE	03B200BC011D				velzd					vd	bilabial				approxi	
	832	190	BA:	β¼►	β¼►	long voiced bilabial approximant	long vd bilabial approxi					1	FALSE	FALSE	03B200BC25BA					long				vd	bilabial				approxi	
	833	191	BAJ	β¼ĵ	β¼ĵ	palatalized voiced bilabial approximant	palzd vd bilabial approxi					1	FALSE	FALSE	03B200BC0135				palzd					vd	bilabial				approxi	
	834	889	vA	ų	ų	voiced labiodental approximant	vd labdent approxi		4	160	1404	6	FALSE	FALSE	0173									vd	labdent				approxi	
	835	896	wj	Ÿ	Ÿ	voiced labial-palatal approximant	vd labpal approxi		4	161	1406	6	FALSE	FALSE	0178									vd	labpal				approxi	
	836	532	hw	W	W	voiceless labial-velar approximant	vl labvel approxi		4	162	1407	15	FALSE	FALSE	0057									vl	labvel				approxi	
	837	894	w	w	w	voiced labial-velar approximant	vd labvel approxi		4	163	1408	332	FALSE	FALSE	0077									vd	labvel				approxi	
	838	895	w*	w·	w·	creaky-voiced voiced labial-velar approximant	creaky vd labvel approxi					17	FALSE	FALSE	00770387							creaky		vd	labvel				approxi	
	839	897	w~	w†	w†	nasalized voiced labial-velar approximant	naszd vd labvel approxi					2	FALSE	FALSE	00772020			naszd						vd	labvel				approxi	
	840	996		w'	w'	voiced labial-velar ejective approximant	vd labvel ejective approxi						FALSE	FALSE	00770027									vd	labvel		ejective		approxi	
	841	997		w►	w►	long voiced labial-velar approximant	long vd labvel approxi						FALSE	FALSE	007725BA					long				vd	labvel				approxi	
	842	49	hrA	ŕ°	ŕ°	voiceless alveolar approximant	vl alveolar approxi					1	FALSE	FALSE	015500B0									vl	alveolar				approxi	
	843	768	rA	ŕ	ŕ	voiced alveolar approximant	vd alveolar approxi		4	164	1412	11	FALSE	FALSE	0155									vd	alveolar				approxi	
	844	573	j_	ŕ¯	ŕ¯	voiced postalveolar approximant	vd postalveol approxi		4	165	1414	1	FALSE	FALSE	015500AF									vd	postalveol				approxi	
	845	765	r.A	ř	ř	voiced retroflex approximant	vd retro approxi		4	166	1416	17	FALSE	FALSE	0159									vd	retro				approxi	
	846	488	hj	j°	j°	voiceless palatal approximant	vl palatal approxi					9	FALSE	FALSE	006A00B0									vl	palatal				approxi	
	847	570	j	j	j	voiced palatal approximant	vd palatal approxi		4	167	1418	378	FALSE	FALSE	006A									vd	palatal				approxi	
	848	571	j*	j·	j·	creaky-voiced voiced palatal approximant	creaky vd palatal approxi					17	FALSE	FALSE	006A0387							creaky		vd	palatal				approxi	
	849	574	j~	j†	j†	nasalized voiced palatal approximant	naszd vd palatal approxi					2	FALSE	FALSE	006A2020			naszd						vd	palatal				approxi	
	850	928		?j	?j	preglottalized voiced palatal approximant	pglot vd palatal approxi						FALSE	FALSE	003F006A								pglot	vd	palatal				approxi	
	851	973		j'	j'	voiced palatal ejective approximant	vd palatal ejective approxi						FALSE	FALSE	006A0027									vd	palatal		ejective		approxi	
	852	974		j►	j►	long voiced palatal approximant	long vd palatal approxi						FALSE	FALSE	006A25BA					long				vd	palatal				approxi	
	853	456	gA	Щ	Щ	voiced velar approximant	vd velar approxi		4	168	1420	12	FALSE	FALSE	0429									vd	velar				approxi	
	854	457	gA*	Щ·	Щ·	creaky-voiced voiced velar approximant	creaky vd velar approxi					2	FALSE	FALSE	04290387							creaky		vd	velar				approxi	
	855	940		Щ'	Щ'	voiced velar ejective approximant	vd velar ejective approxi						FALSE	FALSE	04290027									vd	velar		ejective		approxi	
	856	941		Щŵ	Щŵ	labialized voiced velar approximant	labzd vd velar approxi						FALSE	FALSE	04290175			labzd						vd	velar				approxi	
	857	942		Щ'ŵ	Щ'ŵ	labialized voiced velar ejective approximant	labzd vd velar ejective approxi						FALSE	FALSE	042900270175			labzd						vd	velar		ejective		approxi	
	858	259	R!A	Я¼	Я¼	voiced uvular approximant	vd uvular approxi		4	169	1424	2	FALSE	FALSE	042F00BC									vd	uvular				approxi	
	859	260	RAW	Я¼ŵ	Я¼ŵ	labialized voiced uvular approximant	labzd vd uvular approxi					1	FALSE	FALSE	042F00BC0175			labzd						vd	uvular				approxi	
	860	261	RAW*	Я¼·ŵ	Я¼·ŵ	creaky-voiced labialized voiced uvular approximant	creaky labzd vd uvular approxi					1	FALSE	FALSE	042F00BC03870175			labzd				creaky		vd	uvular				approxi	
	861	4	#	║	║	voiceless alveolar affricate-lateral click	vl alveolar afrilat click	8				4	FALSE	FALSE	2551									vl	alveolar			afrilat	click	
	862	5	#?	║?	║?	glottalized voiceless alveolar affricate-lateral click	glotazed vl alveolar afrilat click	8				1	FALSE	FALSE	2551003F	glotazed								vl	alveolar			afrilat	click	
	863	6	#h	║ĥ	║ĥ	voiceless aspirated alveolar affricate-lateral click	vl aspirate alveolar afrilat click	8				2	FALSE	FALSE	25510125							aspirate		vl	alveolar			afrilat	click	
	864	10	#xh	║xĥ	║xĥ	velar-fricated voiceless aspirated alveolar affricate-lateral click	velfricd vl aspirate alveolar afrilat click	8				1	FALSE	FALSE	255100780125							aspirate		vl	alveolar		velfricd	afrilat	click	
	865	505	hn#?	ŋ°║?	ŋ°║?	glottalized nasalized voiceless alveolar affricate-lateral click	glotazed naszd vl alveolar afrilat click					2	FALSE	FALSE	014B00B02551003F	glotazed		naszd						vl	alveolar			afrilat	click	
	866	506	hn#h	ŋ°║ĥ	ŋ°║ĥ	nasalized voiceless aspirated alveolar affricate-lateral click	naszd vl aspirate alveolar afrilat click					1	FALSE	FALSE	014B00B025510125			naszd				aspirate		vl	alveolar			afrilat	click	
	867	939		║º	║º	voiceless advanced alveolar affricate-lateral click	vl advad alveolar afrilat click						FALSE	FALSE	255100BA		advad							vl	alveolar			afrilat	click	
	868	441	g#	g║	g║	voiced alveolar affricate-lateral click	vd alveolar afrilat click					1	FALSE	FALSE	00672551									vd	alveolar			afrilat	click	
	869	639	n#	Ņ║	Ņ║	nasalized voiced alveolar affricate-lateral click	naszd vd alveolar afrilat click					3	FALSE	FALSE	01452551			naszd						vd	alveolar			afrilat	click	
	870	7	#j	║ˉ	║ˉ	voiceless palatal affricate-lateral click	vl palatal afrilat click	8				1	FALSE	FALSE	255102C9									vl	palatal			afrilat	click	
	871	8	#jh	║ˉĥ	║ˉĥ	voiceless aspirated palatal affricate-lateral click	vl aspirate palatal afrilat click	8				1	FALSE	FALSE	255102C90125							aspirate		vl	palatal			afrilat	click	
	872	9	#jx	║ˉx	║ˉx	velar-fricated voiceless palatal affricate-lateral click	velfricd vl palatal afrilat click	8				1	FALSE	FALSE	255102C90078									vl	palatal		velfricd	afrilat	click	
	873	507	hn#j?	ŋ║ˉ?	ŋ║ˉ?	glottalized nasalized voiceless palatal affricate-lateral click	glotazed naszd vl palatal afrilat click					1	FALSE	FALSE	014B255102C9003F	glotazed		naszd						vl	palatal			afrilat	click	
	874	508	hn#jh	ŋ°║ˉĥ	ŋ°║ˉĥ	nasalized voiceless aspirated palatal affricate-lateral click	naszd vl aspirate palatal afrilat click					1	FALSE	FALSE	014B00B0255102C90125			naszd				aspirate		vl	palatal			afrilat	click	
	875	509	hn#jx?	ŋ║ˉx?	ŋ║ˉx?	glottalized nasalized velar-fricated voiceless palatal affricate-lateral click	glotazed naszd velfricd vl palatal afrilat click					1	FALSE	FALSE	014B255102C90078003F	glotazed		naszd						vl	palatal		velfricd	afrilat	click	
	876	442	g#j	g║ˉ	g║ˉ	voiced palatal affricate-lateral click	vd palatal afrilat click					1	FALSE	FALSE	0067255102C9									vd	palatal			afrilat	click	
	877	444	g#jx	g║ˉx	g║ˉx	velar-fricated voiced palatal affricate-lateral click	velfricd vd palatal afrilat click					1	FALSE	FALSE	0067255102C90078									vd	palatal		velfricd	afrilat	click	
	878	445	g#jx?	g║ˉx?	g║ˉx?	glottalized velar-fricated voiced palatal affricate-lateral click	glotazed velfricd vd palatal afrilat click					1	FALSE	FALSE	0067255102C90078003F	glotazed								vd	palatal		velfricd	afrilat	click	
	879	640	n#j	ŋ║ˉ	ŋ║ˉ	nasalized voiced palatal affricate-lateral click	naszd vd palatal afrilat click					1	FALSE	FALSE	014B255102C9			naszd						vd	palatal			afrilat	click	
	880	443	g#jh	g΄║ˉ	g΄║ˉ	breathy-voiced palatal affricate-lateral click	breathy palatal afrilat click					1	FALSE	FALSE	00670384255102C9							breathy			palatal			afrilat	click	
	881	641	n#jh	ŋ΄║ˉ	ŋ΄║ˉ	nasalized breathy-voiced palatal affricate-lateral click	naszd breathy palatal afrilat click					1	FALSE	FALSE	014B0384255102C9			naszd				breathy			palatal			afrilat	click	
	882	522	hn|?	ŋ°|Ǿ―?	ŋ°|Ǿ―?	glottalized nasalized voiceless dental affricate click	glotazed naszd vl dental affricate click					3	FALSE	FALSE	014B00B0007C01FE2015003F	glotazed		naszd						vl	dental				click	
	883	523	hn|h	ŋ°|Ǿ―ĥ	ŋ°|Ǿ―ĥ	nasalized voiceless aspirated dental affricate click	naszd vl aspirate dental affricate click					2	FALSE	FALSE	014B00B0007C01FE20150125			naszd				aspirate		vl	dental				click	
	884	524	hn|x?	ŋ°|Ǿ―x?	ŋ°|Ǿ―x?	glottalized nasalized velar-fricated voiceless dental affricate click	glotazed naszd velfricd vl dental affricate click					1	FALSE	FALSE	014B00B0007C01FE20150078003F	glotazed		naszd						vl	dental		velfricd		click	
	885	916	|	|Ǿ―	|Ǿ―	voiceless dental affricate click	vl dental affricate click					5	FALSE	FALSE	007C01FE2015									vl	dental				click	
	886	917	|?	|Ǿ―?	|Ǿ―?	glottalized voiceless affricate dental click	glotazed vl affricate dental click					1	FALSE	FALSE	007C01FE2015003F	glotazed								vl	dental				click	
	887	918	|h	|Ǿ―ĥ	|Ǿ―ĥ	voiceless aspirated dental affricate click	vl aspirate dental affricate click					3	FALSE	FALSE	007C01FE20150125							aspirate		vl	dental				click	
	888	919	|x	|Ǿ―x	|Ǿ―x	velar-fricated voiceless dental affricate click	velfricd vl dental affricate click					1	FALSE	FALSE	007C01FE20150078									vl	dental		velfricd		click	
	889	920	|xh	|Ǿ―xĥ	|Ǿ―xĥ	velarized voiceless aspirated dental affricate click	velzd vl aspirate dental affricate click					1	FALSE	FALSE	007C01FE201500780125				velzd			aspirate		vl	dental				click	
	890	470	g|	g΄|Ǿ―	g΄|Ǿ―	voiced dental affricate click	vd dental affricate click					2	FALSE	FALSE	00670384007C01FE2015									vd	dental				click	
	891	472	g|x	g|Ǿ―x	g|Ǿ―x	velar-fricated voiced dental affricate click	velfricd vd dental affricate click					1	FALSE	FALSE	0067007C01FE20150078									vd	dental		velfricd		click	
	892	473	g|x?	g|Ǿ―x?	g|Ǿ―x?	glottalized velar-fricated voiced dental affricate click	glotazed velfricd vd dental affricate click					1	FALSE	FALSE	0067007C01FE20150078003F	glotazed								vd	dental		velfricd		click	
	893	691	n|	ŋ|Ǿ―	ŋ|Ǿ―	nasalized voiced dental affricate click	naszd vd dental affricate click					5	FALSE	FALSE	014B007C01FE2015			naszd						vd	dental				click	
	894	471	g|h	g|Ǿ―	g|Ǿ―	breathy-voiced dental affricate click	breathy dental affricate click					1	FALSE	FALSE	0067007C01FE2015							breathy			dental				click	
	895	692	n|h	ŋ΄|Ǿ―΄	ŋ΄|Ǿ―΄	nasalized breathy-voiced dental affricate click	naszd breathy dental affricate click					1	FALSE	FALSE	014B0384007C01FE20150384			naszd				breathy			dental				click	
	896	144	/	|	|	voiceless alveolar click	vl alveolar click		4	39	0311	2	FALSE	FALSE	007C									vl	alveolar				click	
	897	148	/h	|ĥ	|ĥ	voiceless aspirated alveolar click	vl aspirate alveolar click					1	FALSE	FALSE	007C0125							aspirate		vl	alveolar				click	
	898	149	/s	|s	|s	voiceless alveolar affricate click	vl alveolar affricate click					1	FALSE	FALSE	007C0073									vl	alveolar				click	
	899	150	/x	|x	|x	velar-fricated voiceless alveolar click	velfricd vl alveolar click					1	FALSE	FALSE	007C0078									vl	alveolar		velfricd		click	
	900	151	/xh	|xĥ	|xĥ	velar-fricated voiceless aspirated alveolar click	velfricd vl aspirate alveolar click					1	FALSE	FALSE	007C00780125							aspirate		vl	alveolar		velfricd		click	
	901	515	hn/?	ŋ°|?	ŋ°|?	glottalized nasalized voiceless alveolar click	glotazed naszd vl alveolar click					2	FALSE	FALSE	014B00B0007C003F	glotazed		naszd						vl	alveolar				click	
	902	516	hn/h	ŋ°|ĥ	ŋ°|ĥ	nasalized voiceless aspirated alveolar click	naszd vl aspirate alveolar click					2	FALSE	FALSE	014B00B0007C0125			naszd				aspirate		vl	alveolar				click	
	903	517	hn/x?	ŋ°|x?	ŋ°|x?	glottalized nasalized velarized voiceless alveolar click	glotazed naszd velzd vl alveolar click					1	FALSE	FALSE	014B00B0007C0078003F	glotazed		naszd	velzd					vl	alveolar				click	
	904	447	g/	g|	g|	voiced alveolar click	vd alveolar click					1	FALSE	FALSE	0067007C									vd	alveolar				click	
	905	453	g/x	g|x	g|x	velar-fricated voiced alveolar click	velfricd vd alveolar click					1	FALSE	FALSE	0067007C0078									vd	alveolar		velfricd		click	
	906	454	g/x?	g|x?	g|x?	glottalized velar-fricated voiced alveolar click	glotazed velfricd vd alveolar click					1	FALSE	FALSE	0067007C0078003F	glotazed								vd	alveolar		velfricd		click	
	907	645	n/	ŋ|	ŋ|	nasalized voiced alveolar click	naszd vd alveolar click					2	FALSE	FALSE	014B007C			naszd						vd	alveolar				click	
	908	452	g/h	g΄|	g΄|	breathy-voiced alveolar click	breathy alveolar click					1	FALSE	FALSE	00670384007C							breathy			alveolar				click	
	909	648	n/h	ŋ΄|	ŋ΄|	nasalized breathy-voiced alveolar click	naszd breathy alveolar click					1	FALSE	FALSE	014B0384007C			naszd				breathy			alveolar				click	
	910	0	!	!	!	voiceless postalveolar click	vl postalveol click	4	4	40	0313	5	FALSE	FALSE	0021									vl	postalveol				click	
	911	1	!?	!?	!?	glottalized voiceless postalveolar click	glotazed vl postalveol click	4				1	FALSE	FALSE	0021003F	glotazed								vl	postalveol				click	
	912	2	!h	!ĥ	!ĥ	voiceless aspirated postalveolar click	vl aspirate postalveol click	4				2	FALSE	FALSE	00210125							aspirate		vl	postalveol				click	
	913	3	!xh	!xĥ	!xĥ	velar-fricated voiceless aspirated postalveolar click	velfricd vl aspirate postalveol click	4				1	FALSE	FALSE	002100780125							aspirate		vl	postalveol		velfricd		click	
	914	503	hn!?	ŋ°│?	ŋ°│?	glottalized nasalized voiceless postalveolar click	glotazed naszd vl postalveol click					2	FALSE	FALSE	014B00B02502003F	glotazed		naszd						vl	postalveol				click	
	915	504	hn!h	ŋ°│ĥ	ŋ°│ĥ	nasalized voiceless aspirated postalveolar click	naszd vl aspirate postalveol click					1	FALSE	FALSE	014B00B025020125			naszd				aspirate		vl	postalveol				click	
	916	440	g!	g!	g!	voiced postalveolar click	vd postalveol click					1	FALSE	FALSE	00670021									vd	postalveol				click	
	917	638	n!	ŋ!	ŋ!	nasalized voiced postalveolar click	naszd vd postalveol click					3	FALSE	FALSE	014B0021			naszd						vd	postalveol				click	
	918	938		│˙	│˙	voiceless retroflex click	vl retro click						FALSE	FALSE	250202D9									vl	retro				click	
	919	145	/=	╪	╪	voiceless palatal click	vl palatal click		4	42	0317	1	FALSE	FALSE	256A									vl	palatal				click	
	920	146	/=h	╪ĥ	╪ĥ	voiceless aspirated palatal click	vl aspirate palatal click					1	FALSE	FALSE	256A0125							aspirate		vl	palatal				click	
	921	147	/=x	╪x	╪x	velar-fricated voiceless palatal click	velfricd vl palatal click					1	FALSE	FALSE	256A0078									vl	palatal		velfricd		click	
	922	512	hn/=?	ŋ°╪?	ŋ°╪?	glottalized nasalized voiceless palatal click	glotazed naszd vl palatal click					1	FALSE	FALSE	014B00B0256A003F	glotazed		naszd						vl	palatal				click	
	923	513	hn/=h	ŋ°╪ĥ	ŋ°╪ĥ	nasalized voiceless aspirated palatal click	naszd vl aspirate palatal click					1	FALSE	FALSE	014B00B0256A0125			naszd				aspirate		vl	palatal				click	
	924	514	hn/=x?	ŋ°╪x?	ŋ°╪x?	glottalized nasalized velar-fricated voiceless palatal click	glotazed naszd velfricd vl palatal click					1	FALSE	FALSE	014B00B0256A0078003F	glotazed		naszd						vl	palatal		velfricd		click	
	925	448	g/=	g╪	g╪	voiced palatal click	vd palatal click					1	FALSE	FALSE	0067256A									vd	palatal				click	
	926	450	g/=x	g╪x	g╪x	velar-fricated voiced palatal click	velfricd vd palatal click					1	FALSE	FALSE	0067256A0078									vd	palatal		velfricd		click	
	927	451	g/=x?	g╪x?	g╪x?	glottalized velar-fricated voiced palatal click	glotazed velfricd vd palatal click					1	FALSE	FALSE	0067256A0078003F	glotazed								vd	palatal		velfricd		click	
	928	646	n/=	ŋ╪	ŋ╪	nasalized voiced palatal click	naszd vd palatal click					1	FALSE	FALSE	014B256A			naszd						vd	palatal				click	
	929	449	g/=h	g΄╪	g΄╪	breathy-voiced palatal click	breathy palatal click					1	FALSE	FALSE	00670384256A							breathy			palatal				click	
	930	647	n/=h	ŋ΄╪	ŋ΄╪	nasalized breathy-voiced palatal click	naszd breathy palatal click					1	FALSE	FALSE	014B0384256A			naszd				breathy			palatal				click	
