								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Anglais
	4552	affricate lateral creaky-voiced	0	0	0	0		
	4553	affricate lateral ejective	0	0	0	0		
	4554	affricate lateral glottalized	0	0	0	0		
	4555	affricate lateral labialized	0	0	0	0		
	4556	affricate lateral lateral-release	0	0	0	0		
	4557	affricate lateral long	0	0	0	0		
	4558	affricate lateral nasal-release	0	0	0	0		
	4559	affricate lateral palatalized	0	0	0	0		
	4560	affricate lateral pharyngealized	0	0	0	0		
	4561	affricate lateral preaspirated	0	0	0	0		
	4562	affricate lateral preglottalized	0	0	0	0		
	4563	affricate lateral prenasalized	0	0	0	0		
	4564	affricate lateral prestopped	0	0	0	0		
	4565	affricate lateral sibilant	0	0	0	0		
	4566	affricate lateral velar-fricated	0	0	0	0		
	4567	affricate lateral velarized	0	0	0	0		
	4568	affricate lateral voiced	0	0	0	0		
	4569	affricate lateral voiceless	0	0	0	0		
